locus	exposure_CS	outcome_CS	outcome_CS_cov50	outcome_CS_relaxpurity	outcome_effects_fired	regional_min_p_outcome	n_signal_pairs	coloc_susie_maxPP_H4	coloc_susie_maxPP_H3	coloc_abf_PP_H4	coloc_abf_PP_H3	method	verdict
KCNJ11-T2D	1	1	1	1	1	1.05e-26	1	0.888	0.112	0.939	0.0612	susie	A: outcome CS present -> coloc.susie EVALUABLE
ROCK2-BMI	4	0	0	0	0	4.93e-05	0			0.104	0.0792	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK1-hepaticfat	3	0	0	0	0	0.0193	0			0.0685	0.0133	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK2muscle-cirrhosis	1	0	0	0	0	0.00698	0			0.0323	0.0421	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK2-T2D	4	0	0	0	0	0.00057	0			0.00316	0.285	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK2-NAFLD	5	0	0	0	0	0.0166	0			0.00989	0.0334	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK1-T2D	3	0	0	0	0	0.00829	0			0.0173	0.0148	abf	B: no outcome CS at any threshold -> NOT evaluable (abf retained)
ROCK2-cirrhosis		0	0	0	0	0.00416	0			0.0127	0.0822	abf	exposure SuSiE error -> abf only
